Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1417411980,300,300,300,300,0.01,3,300
1417412040,300,300,300,300,0.01,3,300
1417412100,300,300,300,300,0.01,3,300
1417412160,300,300,300,300,0.01,3,300
1417412220,300,300,300,300,0.01,3,300
1417412280,300,300,300,300,0.01,3,300
1417412340,300,300,300,300,0.01,3,300
1417412400,300,300,300,300,0.01,3,300
1417412460,300,300,300,300,0.01,3,300
1417412520,300,300,300,300,0.01,3,300
1417412580,300,300,300,300,0.01,3,300
1417412640,300,300,300,300,0.01,3,300
1417412700,300,300,300,300,0.01,3,300
1417412760,300,300,300,300,0.01,3,300
1417412820,300,300,300,300,0.01,3,300
1417412880,300,300,300,300,0.01,3,300
1417412940,300,300,300,300,0.01,3,300
1417413000,300,300,300,300,0.01,3,300
1417413060,300,300,300,300,0.01,3,300
1417413120,300,300,300,300,0.01,3,300
1417413180,300,300,300,300,0.01,3,300
1417413240,300,300,300,300,0.01,3,300
1417413300,300,300,300,300,0.01,3,300
1417413360,300,300,300,300,0.01,3,300
1417413420,300,300,300,300,0.01,3,300
1417413480,300,300,300,300,0.01,3,300
1417413540,300,300,300,300,0.01,3,300
1417413600,300,300,300,300,0.01,3,300
1417413660,300,300,300,300,0.01,3,300
1417413720,300,300,300,300,0.01,3,300
1417413780,300,300,300,300,0.01,3,300
1417413840,300,300,300,300,0.01,3,300
1417413900,300,300,300,300,0.01,3,300
1417413960,300,300,300,300,0.01,3,300
1417414020,300,300,300,300,0.01,3,300
1417414080,300,300,300,300,0.01,3,300
1417414140,300,300,300,300,0.01,3,300
1417414200,300,300,300,300,0.01,3,300
1417414260,300,300,300,300,0.01,3,300
1417414320,300,300,300,300,0.01,3,300
1417414380,300,300,300,300,0.01,3,300
1417414440,300,300,300,300,0.01,3,300
1417414500,300,300,300,300,0.01,3,300
1417414560,300,300,300,300,0.01,3,300
1417414620,300,300,300,300,0.01,3,300
1417414680,300,300,300,300,0.01,3,300
1417414740,300,300,300,300,0.01,3,300
1417414800,300,300,300,300,0.01,3,300
1417414860,300,300,300,300,0.01,3,300
1417414920,300,300,300,300,0.01,3,300
1417414980,300,300,300,300,0.01,3,300
1417415040,370,370,370,370,0.01,3.7,370
1417415100,370,370,370,370,0.01,3.7,370
1417415160,370,370,370,370,0.01,3.7,370
1417415220,370,370,370,370,0.01,3.7,370
1417415280,370,370,370,370,0.01,3.7,370
1417415340,370,370,370,370,0.01,3.7,370
1417415400,370,370,370,370,0.01,3.7,370
1417415460,370,370,370,370,0.01,3.7,370
1417415520,370,370,370,370,0.01,3.7,370
1417415580,370,370,370,370,0.01,3.7,370
1417415640,370,370,370,370,0.01,3.7,370
1417415700,370,370,370,370,0.01,3.7,370
1417415760,370,370,370,370,0.01,3.7,370
1417415820,370,370,370,370,0.01,3.7,370
1417415880,370,370,370,370,0.01,3.7,370
1417415940,370,370,370,370,0.01,3.7,370
1417416000,370,370,370,370,0.01,3.7,370
1417416060,370,370,370,370,0.01,3.7,370
1417416120,370,370,370,370,0.01,3.7,370
1417416180,370,370,370,370,0.01,3.7,370
1417416240,370,370,370,370,0.01,3.7,370
1417416300,370,370,370,370,0.01,3.7,370
1417416360,370,370,370,370,0.01,3.7,370
1417416420,370,370,370,370,0.01,3.7,370
1417416480,370,370,370,370,0.01,3.7,370
1417416540,370,370,370,370,0.01,3.7,370
1417416600,370,370,370,370,0.02655554,9.8255498,370
1417416660,370,370,370,370,0.02655554,9.8255498,370
